"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US0100100","Abanda CDP, Alabama","79","53",
"1600000US0100124","Abbeville city, Alabama","1303","166",
"1600000US0100460","Adamsville city, Alabama","1757","288",
"1600000US0100484","Addison town, Alabama","361","65",
"1600000US0100676","Akron town, Alabama","173","41",
"1600000US0100820","Alabaster city, Alabama","12459","495",
"1600000US0100988","Albertville city, Alabama","8267","480",
"1600000US0101132","Alexander City city, Alabama","7211","342",
"1600000US0101180","Alexandria CDP, Alabama","1579","213",
"1600000US0101228","Aliceville city, Alabama","993","167",
"1600000US0101396","Allgood town, Alabama","231","68",
"1600000US0101660","Altoona town, Alabama","568","137",
"1600000US0101708","Andalusia city, Alabama","4147","234",
"1600000US0101756","Anderson town, Alabama","112","51",
"1600000US0101852","Anniston city, Alabama","11705","461",
"1600000US0102116","Arab city, Alabama","3635","210",
"1600000US0102260","Ardmore town, Alabama","566","145",
"1600000US0102320","Argo town, Alabama","1676","207",
"1600000US0102428","Ariton town, Alabama","292","73",
"1600000US0102500","Arley town, Alabama","196","59",
"1600000US0102836","Ashford town, Alabama","1011","81",
"1600000US0102860","Ashland town, Alabama","829","143",
"1600000US0102908","Ashville city, Alabama","910","246",
"1600000US0102956","Athens city, Alabama","11586","360",
"1600000US0103004","Atmore city, Alabama","3438","390",
"1600000US0103028","Attalla city, Alabama","3107","223",
"1600000US0103076","Auburn city, Alabama","33932","620",
"1600000US0103220","Autaugaville town, Alabama","519","121",
"1600000US0103364","Avon town, Alabama","218","41",
"1600000US0103508","Axis CDP, Alabama","125","80",
"1600000US0103556","Babbie town, Alabama","242","60",
"1600000US0103676","Baileyton town, Alabama","448","199",
"1600000US0103724","Bakerhill town, Alabama","124","48",
"1600000US0103820","Ballplay CDP, Alabama","599","160",
"1600000US0103940","Banks town, Alabama","128","50",
"1600000US0104660","Bay Minette city, Alabama","3116","287",
"1600000US0104684","Bayou La Batre city, Alabama","951","173",
"1600000US0104852","Bear Creek town, Alabama","599","174",
"1600000US0104900","Beatrice town, Alabama","116","33",
"1600000US0104948","Beaverton town, Alabama","102","40",
"1600000US0105140","Belgreen CDP, Alabama","21","22",
"1600000US0105164","Belk town, Alabama","137","59",
"1600000US0105188","Bellamy CDP, Alabama","107","74",
"1600000US0105212","Belle Fontaine CDP, Alabama","286","96",
"1600000US0105692","Benton town, Alabama","18","14",
"1600000US0105812","Berlin town, Alabama","292","124",
"1600000US0105932","Berry town, Alabama","406","91",
"1600000US0105980","Bessemer city, Alabama","12462","536",
"1600000US0106460","Billingsley town, Alabama","42","18",
"1600000US0107000","Birmingham city, Alabama","107009","1293",
"1600000US0107120","Black town, Alabama","145","95",
"1600000US0107456","Blountsville town, Alabama","806","152",
"1600000US0107588","Blue Ridge CDP, Alabama","612","113",
"1600000US0107672","Blue Springs town, Alabama","51","20",
"1600000US0107912","Boaz city, Alabama","4294","364",
"1600000US0108104","Boligee town, Alabama","180","68",
"1600000US0108248","Bon Air town, Alabama","42","24",
"1600000US0108272","Bon Secour CDP, Alabama","1208","322",
"1600000US0108680","Boykin CDP, Alabama","235","67",
"1600000US0109016","Brantley town, Alabama","475","94",
"1600000US0109064","Brantleyville CDP, Alabama","316","82",
"1600000US0109136","Brent city, Alabama","942","184",
"1600000US0109208","Brewton city, Alabama","2549","208",
"1600000US0109328","Bridgeport city, Alabama","1272","150",
"1600000US0109400","Brighton city, Alabama","1548","294",
"1600000US0109424","Brilliant town, Alabama","653","142",
"1600000US0109457","Bristow Cove CDP, Alabama","326","143",
"1600000US0109500","Brook Highland CDP, Alabama","3935","351",
"1600000US0109736","Brookside town, Alabama","537","134",
"1600000US0109808","Brookwood town, Alabama","1001","171",
"1600000US0109880","Broomtown CDP, Alabama","99","47",
"1600000US0110240","Brundidge city, Alabama","1320","195",
"1600000US0110456","Bucks CDP, Alabama","10","16",
"1600000US0111032","Butler town, Alabama","1008","195",
"1600000US0111416","Calera city, Alabama","6510","310",
"1600000US0111488","Calvert CDP, Alabama","88","112",
"1600000US0111512","Camden city, Alabama","700","121",
"1600000US0111680","Camp Hill town, Alabama","659","148",
"1600000US0112016","Carbon Hill city, Alabama","921","152",
"1600000US0112040","Cardiff town, Alabama","16","10",
"1600000US0112070","Carlisle-Rockledge CDP, Alabama","864","184",
"1600000US0112112","Carlton CDP, Alabama","44","30",
"1600000US0112160","Carolina town, Alabama","156","39",
"1600000US0112304","Carrollton town, Alabama","433","108",
"1600000US0112496","Castleberry town, Alabama","256","80",
"1600000US0112544","Catherine CDP, Alabama","0","13",
"1600000US0112760","Cedar Bluff town, Alabama","1034","153",
"1600000US0113264","Center Point city, Alabama","6621","405",
"1600000US0113648","Centre city, Alabama","1729","188",
"1600000US0113672","Centreville city, Alabama","1296","252",
"1600000US0114008","Chatom town, Alabama","392","108",
"1600000US0114104","Chelsea city, Alabama","5465","302",
"1600000US0114152","Cherokee town, Alabama","411","105",
"1600000US0114392","Chickasaw city, Alabama","2767","184",
"1600000US0114464","Childersburg city, Alabama","2130","291",
"1600000US0114728","Choccolocco CDP, Alabama","1155","196",
"1600000US0114968","Chunchula CDP, Alabama","42","35",
"1600000US0115064","Citronelle city, Alabama","1632","223",
"1600000US0115136","Clanton city, Alabama","3798","291",
"1600000US0115256","Clay city, Alabama","4258","416",
"1600000US0115304","Clayhatchee town, Alabama","305","83",
"1600000US0115376","Clayton town, Alabama","568","112",
"1600000US0115472","Cleveland town, Alabama","535","94",
"1600000US0115640","Clio city, Alabama","687","118",
"1600000US0116000","Coaling town, Alabama","752","152",
"1600000US0116080","Coats Bend CDP, Alabama","622","103",
"1600000US0116240","Coffee Springs town, Alabama","181","57",
"1600000US0116264","Coffeeville town, Alabama","214","48",
"1600000US0116312","Coker town, Alabama","430","131",
"1600000US0116600","Collinsville town, Alabama","848","215",
"1600000US0116684","Colony town, Alabama","126","55",
"1600000US0116744","Columbia town, Alabama","353","87",
"1600000US0116768","Columbiana city, Alabama","1668","218",
"1600000US0116936","Concord CDP, Alabama","764","190",
"1600000US0117176","Coosada town, Alabama","470","72",
"1600000US0117368","Cordova city, Alabama","884","128",
"1600000US0117704","Cottondale CDP, Alabama","1635","411",
"1600000US0117824","Cottonwood town, Alabama","712","105",
"1600000US0117968","County Line town, Alabama","111","43",
"1600000US0118040","Courtland town, Alabama","395","106",
"1600000US0118088","Cowarts town, Alabama","913","110",
"1600000US0118304","Creola city, Alabama","836","125",
"1600000US0118856","Crossville town, Alabama","676","100",
"1600000US0118952","Cuba town, Alabama","193","60",
"1600000US0118976","Cullman city, Alabama","8518","466",
"1600000US0119024","Cullomburg CDP, Alabama","129","68",
"1600000US0119216","Cusseta town, Alabama","75","43",
"1600000US0119336","Dadeville city, Alabama","1377","203",
"1600000US0119360","Daleville city, Alabama","2771","216",
"1600000US0119648","Daphne city, Alabama","11329","664",
"1600000US0119744","Dauphin Island town, Alabama","2244","216",
"1600000US0119816","Daviston town, Alabama","88","29",
"1600000US0119912","Dayton town, Alabama","20","18",
"1600000US0120008","Deatsville town, Alabama","772","171",
"1600000US0120104","Decatur city, Alabama","25680","508",
"1600000US0120152","Deer Park CDP, Alabama","30","22",
"1600000US0120272","Delta CDP, Alabama","105","77",
"1600000US0120296","Demopolis city, Alabama","3587","293",
"1600000US0120392","Detroit town, Alabama","131","50",
"1600000US0120955","Dodge City town, Alabama","242","65",
"1600000US0121136","Dora city, Alabama","1171","176",
"1600000US0121184","Dothan city, Alabama","33325","319",
"1600000US0121280","Double Springs town, Alabama","568","135",
"1600000US0121328","Douglas town, Alabama","327","78",
"1600000US0121448","Dozier town, Alabama","221","79",
"1600000US0121890","Dunnavant CDP, Alabama","499","162",
"1600000US0121952","Dutton town, Alabama","202","71",
"1600000US0122088","Eagle Point CDP, Alabama","944","141",
"1600000US0122216","East Brewton city, Alabama","1172","181",
"1600000US0122504","East Point CDP, Alabama","75","70",
"1600000US0122816","Eclectic town, Alabama","490","134",
"1600000US0123032","Edgewater CDP, Alabama","471","221",
"1600000US0123176","Edwardsville town, Alabama","75","43",
"1600000US0123224","Egypt CDP, Alabama","478","145",
"1600000US0123296","Elba city, Alabama","1784","208",
"1600000US0123320","Elberta town, Alabama","1147","261",
"1600000US0123344","Eldridge town, Alabama","31","19",
"1600000US0123488","Elkmont town, Alabama","250","139",
"1600000US0123656","Elmore town, Alabama","697","202",
"1600000US0123872","Emelle town, Alabama","31","23",
"1600000US0123880","Emerald Mountain CDP, Alabama","1087","254",
"1600000US0124184","Enterprise city, Alabama","12457","299",
"1600000US0124256","Epes town, Alabama","303","137",
"1600000US0124280","Equality CDP, Alabama","47","36",
"1600000US0124472","Ethelsville town, Alabama","30","20",
"1600000US0124568","Eufaula city, Alabama","5999","232",
"1600000US0124616","Eunola CDP, Alabama","65","46",
"1600000US0124664","Eutaw town, Alabama","1415","203",
"1600000US0124688","Eva town, Alabama","258","72",
"1600000US0124808","Evergreen city, Alabama","1762","224",
"1600000US0124880","Excel town, Alabama","214","61",
"1600000US0125120","Fairfield city, Alabama","4825","397",
"1600000US0125216","Fairford CDP, Alabama","49","41",
"1600000US0125240","Fairhope city, Alabama","9956","614",
"1600000US0125384","Fairview town, Alabama","228","60",
"1600000US0125648","Falkville town, Alabama","519","126",
"1600000US0125816","Faunsdale town, Alabama","39","25",
"1600000US0125840","Fayette city, Alabama","2288","215",
"1600000US0125864","Fayetteville CDP, Alabama","578","182",
"1600000US0126152","Fitzpatrick CDP, Alabama","21","37",
"1600000US0126200","Five Points town, Alabama","75","40",
"1600000US0126824","Flomaton town, Alabama","770","146",
"1600000US0126848","Florala town, Alabama","1030","155",
"1600000US0126896","Florence city, Alabama","19709","411",
"1600000US0126992","Foley city, Alabama","10990","714",
"1600000US0127088","Forestdale CDP, Alabama","4432","343",
"1600000US0127376","Forkland town, Alabama","379","113",
"1600000US0127520","Fort Deposit town, Alabama","680","139",
"1600000US0127616","Fort Payne city, Alabama","6596","438",
"1600000US0127640","Fort Rucker CDP, Alabama","1550","176",
"1600000US0128024","Franklin town, Alabama","434","131",
"1600000US0128120","Fredonia CDP, Alabama","89","57",
"1600000US0128312","Frisco City town, Alabama","691","157",
"1600000US0128408","Fruitdale CDP, Alabama","48","30",
"1600000US0128432","Fruithurst town, Alabama","169","70",
"1600000US0128504","Fulton town, Alabama","166","71",
"1600000US0128552","Fultondale city, Alabama","4515","516",
"1600000US0128672","Fyffe town, Alabama","547","168",
"1600000US0128696","Gadsden city, Alabama","16498","439",
"1600000US0128768","Gainesville town, Alabama","108","49",
"1600000US0128816","Gallant CDP, Alabama","513","198",
"1600000US0128936","Gantt town, Alabama","171","84",
"1600000US0129032","Garden City town, Alabama","224","61",
"1600000US0129056","Gardendale city, Alabama","6579","484",
"1600000US0129296","Gaylesville town, Alabama","63","32",
"1600000US0129392","Geiger town, Alabama","115","46",
"1600000US0129464","Geneva city, Alabama","2088","231",
"1600000US0129560","Georgiana town, Alabama","814","156",
"1600000US0129608","Geraldine town, Alabama","453","86",
"1600000US0129704","Gilbertown town, Alabama","460","148",
"1600000US0129944","Glen Allen town, Alabama","179","63",
"1600000US0129992","Glencoe city, Alabama","2401","258",
"1600000US0130160","Glenwood town, Alabama","120","38",
"1600000US0130448","Goldville town, Alabama","34","17",
"1600000US0130496","Good Hope city, Alabama","903","121",
"1600000US0130640","Goodwater town, Alabama","787","130",
"1600000US0130736","Gordo town, Alabama","728","111",
"1600000US0130760","Gordon town, Alabama","216","67",
"1600000US0130808","Gordonville town, Alabama","89","33",
"1600000US0130880","Goshen town, Alabama","193","71",
"1600000US0131000","Graham CDP, Alabama","19","19",
"1600000US0131024","Grand Bay CDP, Alabama","1861","372",
"1600000US0131096","Grant town, Alabama","574","121",
"1600000US0131348","Grayson Valley CDP, Alabama","2772","523",
"1600000US0131384","Graysville city, Alabama","1210","216",
"1600000US0131720","Greensboro city, Alabama","1212","239",
"1600000US0131912","Greenville city, Alabama","3456","193",
"1600000US0132056","Grimes town, Alabama","241","60",
"1600000US0132080","Grove Hill town, Alabama","946","182",
"1600000US0132224","Guin city, Alabama","1124","121",
"1600000US0132248","Gulfcrest CDP, Alabama","29","28",
"1600000US0132272","Gulf Shores city, Alabama","14331","572",
"1600000US0132416","Guntersville city, Alabama","3936","205",
"1600000US0132440","Gurley town, Alabama","307","64",
"1600000US0132536","Gu-Win town, Alabama","61","22",
"1600000US0132560","Hackleburg town, Alabama","733","148",
"1600000US0132584","Hackneyville CDP, Alabama","182","69",
"1600000US0132656","Haleburg town, Alabama","73","25",
"1600000US0132704","Haleyville city, Alabama","1875","190",
"1600000US0132848","Hamilton city, Alabama","3358","320",
"1600000US0132896","Hammondville town, Alabama","210","56",
"1600000US0132968","Hanceville city, Alabama","1483","216",
"1600000US0133064","Hanover CDP, Alabama","99","60",
"1600000US0133256","Harpersville town, Alabama","765","149",
"1600000US0133424","Hartford city, Alabama","1172","136",
"1600000US0133448","Hartselle city, Alabama","6611","350",
"1600000US0133472","Harvest CDP, Alabama","2523","384",
"1600000US0133544","Hatton CDP, Alabama","115","91",
"1600000US0133640","Hayden town, Alabama","596","125",
"1600000US0133712","Hayneville town, Alabama","444","124",
"1600000US0133808","Hazel Green CDP, Alabama","1492","186",
"1600000US0133856","Headland city, Alabama","1904","178",
"1600000US0133904","Heath town, Alabama","183","105",
"1600000US0133976","Heflin city, Alabama","1399","154",
"1600000US0134024","Helena city, Alabama","7966","390",
"1600000US0134096","Henagar city, Alabama","989","145",
"1600000US0134480","Highland Lake town, Alabama","274","82",
"1600000US0134490","Highland Lakes CDP, Alabama","2132","228",
"1600000US0134816","Hillsboro town, Alabama","244","63",
"1600000US0134984","Hissop CDP, Alabama","78","72",
"1600000US0135130","Hobson CDP, Alabama","64","65",
"1600000US0135152","Hobson City town, Alabama","433","121",
"1600000US0135200","Hodges town, Alabama","113","38",
"1600000US0135392","Hokes Bluff city, Alabama","1987","236",
"1600000US0135512","Hollins CDP, Alabama","220","79",
"1600000US0135536","Hollis Crossroads CDP, Alabama","250","95",
"1600000US0135560","Holly Pond town, Alabama","304","68",
"1600000US0135632","Hollywood town, Alabama","503","118",
"1600000US0135704","Holt CDP, Alabama","1378","189",
"1600000US0135752","Holtville CDP, Alabama","2109","316",
"1600000US0135800","Homewood city, Alabama","10945","435",
"1600000US0135896","Hoover city, Alabama","38642","868",
"1600000US0136088","Horn Hill town, Alabama","120","37",
"1600000US0136448","Hueytown city, Alabama","6533","350",
"1600000US0136592","Huguley CDP, Alabama","1192","198",
"1600000US0137000","Huntsville city, Alabama","100345","1126",
"1600000US0137096","Hurtsboro town, Alabama","319","82",
"1600000US0137264","Hytop town, Alabama","231","48",
"1600000US0137312","Ider town, Alabama","341","83",
"1600000US0137465","Indian Springs Village city, Alabama","810","104",
"1600000US0137864","Irondale city, Alabama","6771","494",
"1600000US0138032","Ivalee CDP, Alabama","389","94",
"1600000US0138152","Jackson city, Alabama","2149","192",
"1600000US0138248","Jacksons' Gap town, Alabama","309","72",
"1600000US0138272","Jacksonville city, Alabama","6012","369",
"1600000US0138416","Jasper city, Alabama","5841","378",
"1600000US0138608","Jemison city, Alabama","1066","138",
"1600000US0139064","Joppa CDP, Alabama","125","74",
"1600000US0139280","Kansas town, Alabama","78","29",
"1600000US0139472","Kellyton town, Alabama","92","43",
"1600000US0139520","Kennedy town, Alabama","228","58",
"1600000US0139784","Killen town, Alabama","564","112",
"1600000US0139856","Kimberly city, Alabama","1548","171",
"1600000US0140072","Kinsey town, Alabama","968","121",
"1600000US0140096","Kinston town, Alabama","289","70",
"1600000US0140648","Ladonia CDP, Alabama","1394","248",
"1600000US0140672","La Fayette city, Alabama","1286","144",
"1600000US0140888","Lakeview town, Alabama","44","16",
"1600000US0140928","Lake View town, Alabama","1258","143",
"1600000US0141296","Lanett city, Alabama","2967","268",
"1600000US0141368","Langston town, Alabama","243","58",
"1600000US0141968","Leeds city, Alabama","5313","381",
"1600000US0142016","Leesburg town, Alabama","493","111",
"1600000US0142160","Leighton town, Alabama","457","128",
"1600000US0142304","Leroy CDP, Alabama","437","99",
"1600000US0142352","Lester town, Alabama","53","18",
"1600000US0142472","Level Plains town, Alabama","815","156",
"1600000US0142640","Lexington town, Alabama","358","98",
"1600000US0142808","Libertyville town, Alabama","46","20",
"1600000US0142928","Lillian CDP, Alabama","691","249",
"1600000US0143120","Lincoln city, Alabama","3282","290",
"1600000US0143240","Linden city, Alabama","1022","167",
"1600000US0143264","Lineville city, Alabama","1455","180",
"1600000US0143336","Lipscomb city, Alabama","976","172",
"1600000US0143384","Lisman town, Alabama","286","96",
"1600000US0143648","Littleville town, Alabama","448","83",
"1600000US0143720","Livingston city, Alabama","1005","152",
"1600000US0143744","Loachapoka town, Alabama","107","46",
"1600000US0143816","Lockhart town, Alabama","234","66",
"1600000US0143888","Locust Fork town, Alabama","536","131",
"1600000US0144160","Lookout Mountain CDP, Alabama","594","107",
"1600000US0144344","Louisville town, Alabama","339","107",
"1600000US0144536","Lowndesboro town, Alabama","65","32",
"1600000US0144608","Loxley town, Alabama","1479","258",
"1600000US0144728","Luverne city, Alabama","1130","150",
"1600000US0144800","Lynn town, Alabama","440","121",
"1600000US0145040","McCalla CDP, Alabama","5855","516",
"1600000US0145208","McDonald Chapel CDP, Alabama","348","118",
"1600000US0145316","Macedonia CDP, Alabama","179","51",
"1600000US0145472","McIntosh town, Alabama","126","53",
"1600000US0145496","McKenzie town, Alabama","318","84",
"1600000US0145640","McMullen town, Alabama","23","22",
"1600000US0145784","Madison city, Alabama","22752","692",
"1600000US0145904","Madrid town, Alabama","134","33",
"1600000US0146072","Magnolia Springs town, Alabama","600","164",
"1600000US0146192","Malcolm CDP, Alabama","71","90",
"1600000US0146264","Malvern town, Alabama","725","143",
"1600000US0146504","Maplesville town, Alabama","339","115",
"1600000US0146600","Marbury CDP, Alabama","805","197",
"1600000US0146696","Margaret town, Alabama","1804","206",
"1600000US0146768","Marion city, Alabama","936","183",
"1600000US0147728","Maytown town, Alabama","135","32",
"1600000US0147740","Meadowbrook CDP, Alabama","3593","360",
"1600000US0147848","Megargel CDP, Alabama","6","12",
"1600000US0148052","Memphis town, Alabama","17","12",
"1600000US0148064","Mentone town, Alabama","385","69",
"1600000US0148112","Meridianville CDP, Alabama","3535","412",
"1600000US0148376","Midfield city, Alabama","2216","211",
"1600000US0148400","Midland City town, Alabama","1001","196",
"1600000US0148424","Midway town, Alabama","299","98",
"1600000US0148616","Mignon CDP, Alabama","456","145",
"1600000US0148712","Millbrook city, Alabama","7132","386",
"1600000US0148784","Millerville CDP, Alabama","180","91",
"1600000US0148808","Millport town, Alabama","580","151",
"1600000US0148832","Millry town, Alabama","317","85",
"1600000US0149072","Minor CDP, Alabama","408","110",
"1600000US0150000","Mobile city, Alabama","90922","906",
"1600000US0150192","Monroeville city, Alabama","2895","231",
"1600000US0150312","Montevallo city, Alabama","2528","265",
"1600000US0151000","Montgomery city, Alabama","93743","466",
"1600000US0151096","Moody city, Alabama","5303","348",
"1600000US0151216","Moores Mill CDP, Alabama","2510","253",
"1600000US0151264","Mooresville town, Alabama","40","27",
"1600000US0151456","Morris town, Alabama","924","192",
"1600000US0151469","Morrison Crossroads CDP, Alabama","86","63",
"1600000US0151520","Mosses town, Alabama","313","89",
"1600000US0151600","Moulton city, Alabama","1782","172",
"1600000US0151648","Moundville town, Alabama","1030","196",
"1600000US0151696","Mountain Brook city, Alabama","8789","397",
"1600000US0152320","Mount Olive CDP (Coosa County), Alabama","164","59",
"1600000US0152344","Mount Olive CDP (Jefferson County), Alabama","1712","236",
"1600000US0152608","Mount Vernon town, Alabama","578","119",
"1600000US0152680","Movico CDP, Alabama","63","64",
"1600000US0152776","Mulga town, Alabama","434","79",
"1600000US0152848","Munford town, Alabama","781","199",
"1600000US0153016","Muscle Shoals city, Alabama","6976","382",
"1600000US0153112","Myrtlewood town, Alabama","76","35",
"1600000US0153208","Nanafalia CDP, Alabama","41","49",
"1600000US0153232","Nances Creek CDP, Alabama","239","132",
"1600000US0153256","Napier Field town, Alabama","206","44",
"1600000US0153376","Natural Bridge town, Alabama","31","16",
"1600000US0153400","Nauvoo town, Alabama","89","32",
"1600000US0153448","Nectar town, Alabama","181","56",
"1600000US0153472","Needham town, Alabama","50","26",
"1600000US0153784","Newbern town, Alabama","143","39",
"1600000US0153856","New Brockton town, Alabama","646","101",
"1600000US0154168","New Hope city, Alabama","1033","187",
"1600000US0154312","New Market CDP, Alabama","529","174",
"1600000US0154432","New Site town, Alabama","384","102",
"1600000US0154480","Newton town, Alabama","699","101",
"1600000US0154582","New Union CDP, Alabama","355","124",
"1600000US0154600","Newville town, Alabama","290","67",
"1600000US0154696","Nixburg CDP, Alabama","189","69",
"1600000US0155044","North Courtland town, Alabama","323","79",
"1600000US0155152","North Johns town, Alabama","76","39",
"1600000US0155200","Northport city, Alabama","12619","582",
"1600000US0155440","Notasulga town, Alabama","426","111",
"1600000US0155752","Oak Grove town, Alabama","420","99",
"1600000US0155848","Oak Hill town, Alabama","33","20",
"1600000US0155992","Oakman town, Alabama","457","144",
"1600000US0156400","Odenville city, Alabama","2153","227",
"1600000US0156472","Ohatchee town, Alabama","538","126",
"1600000US0157000","Oneonta city, Alabama","3133","283",
"1600000US0157024","Onycha town, Alabama","107","47",
"1600000US0157048","Opelika city, Alabama","13644","486",
"1600000US0157120","Opp city, Alabama","3332","202",
"1600000US0157144","Orange Beach city, Alabama","14777","417",
"1600000US0157240","Orrville town, Alabama","105","36",
"1600000US0157384","Our Town CDP, Alabama","453","170",
"1600000US0157504","Owens Cross Roads town, Alabama","985","92",
"1600000US0157576","Oxford city, Alabama","9052","458",
"1600000US0157648","Ozark city, Alabama","6618","277",
"1600000US0157696","Paint Rock town, Alabama","83","24",
"1600000US0157912","Panola CDP, Alabama","30","34",
"1600000US0158272","Parrish town, Alabama","577","114",
"1600000US0158680","Pea Ridge CDP, Alabama","339","121",
"1600000US0158848","Pelham city, Alabama","9093","429",
"1600000US0158896","Pell City city, Alabama","5740","345",
"1600000US0158968","Pennington town, Alabama","332","132",
"1600000US0159016","Penton CDP, Alabama","40","35",
"1600000US0159064","Perdido CDP, Alabama","300","83",
"1600000US0159088","Perdido Beach town, Alabama","368","87",
"1600000US0159232","Peterman CDP, Alabama","56","41",
"1600000US0159328","Petrey town, Alabama","30","16",
"1600000US0159472","Phenix City city, Alabama","18358","499",
"1600000US0159496","Phil Campbell town, Alabama","465","111",
"1600000US0159592","Pickensville town, Alabama","431","105",
"1600000US0159640","Piedmont city, Alabama","2142","276",
"1600000US0159760","Pike Road town, Alabama","3514","191",
"1600000US0159832","Pinckard town, Alabama","378","80",
"1600000US0159880","Pine Apple town, Alabama","99","43",
"1600000US0160240","Pine Hill town, Alabama","414","95",
"1600000US0160264","Pine Level CDP, Alabama","1561","254",
"1600000US0160372","Pine Ridge town, Alabama","196","106",
"1600000US0160648","Pinson city, Alabama","2786","289",
"1600000US0160720","Pisgah town, Alabama","412","107",
"1600000US0161008","Pleasant Grove city, Alabama","3877","245",
"1600000US0161038","Pleasant Groves town, Alabama","240","64",
"1600000US0161488","Point Clear CDP, Alabama","1045","311",
"1600000US0161536","Pollard town, Alabama","57","26",
"1600000US0162075","Powell town, Alabama","312","77",
"1600000US0162328","Prattville city, Alabama","15543","457",
"1600000US0162472","Priceville town, Alabama","1146","148",
"1600000US0162496","Prichard city, Alabama","8827","579",
"1600000US0162688","Providence town, Alabama","92","33",
"1600000US0162952","Putnam CDP, Alabama","91","52",
"1600000US0163216","Ragland town, Alabama","762","183",
"1600000US0163288","Rainbow City city, Alabama","4524","386",
"1600000US0163336","Rainsville city, Alabama","2381","236",
"1600000US0163408","Ranburne town, Alabama","218","80",
"1600000US0163495","Ray CDP, Alabama","258","116",
"1600000US0163576","Red Bay city, Alabama","1811","203",
"1600000US0163730","Redland CDP, Alabama","1825","312",
"1600000US0163768","Red Level town, Alabama","204","52",
"1600000US0163912","Redstone Arsenal CDP, Alabama","381","55",
"1600000US0163984","Reece City town, Alabama","355","78",
"1600000US0164040","Reeltown CDP, Alabama","323","139",
"1600000US0164104","Reform town, Alabama","853","148",
"1600000US0164152","Rehobeth town, Alabama","647","100",
"1600000US0164248","Remlap CDP, Alabama","983","217",
"1600000US0164368","Repton town, Alabama","117","41",
"1600000US0164656","Ridgeville town, Alabama","88","37",
"1600000US0164776","River Falls town, Alabama","278","81",
"1600000US0164920","Riverside city, Alabama","1012","168",
"1600000US0165016","Riverview town, Alabama","66","34",
"1600000US0165040","Roanoke city, Alabama","2566","209",
"1600000US0165208","Robertsdale city, Alabama","2741","325",
"1600000US0165412","Rock Creek CDP, Alabama","674","122",
"1600000US0165472","Rockford town, Alabama","319","71",
"1600000US0165592","Rock Mills CDP, Alabama","279","139",
"1600000US0165784","Rockville CDP, Alabama","26","30",
"1600000US0166216","Rogersville town, Alabama","660","125",
"1600000US0166408","Rosa town, Alabama","326","209",
"1600000US0167056","Russellville city, Alabama","4011","302",
"1600000US0167176","Rutledge town, Alabama","142","42",
"1600000US0167536","St. Florian town, Alabama","321","72",
"1600000US0167584","St. Stephens CDP, Alabama","186","85",
"1600000US0167608","Saks CDP, Alabama","4867","536",
"1600000US0167800","Samson city, Alabama","815","128",
"1600000US0167920","Sand Rock town, Alabama","341","83",
"1600000US0168016","Sanford town, Alabama","112","35",
"1600000US0168160","Saraland city, Alabama","7140","481",
"1600000US0168280","Sardis City town, Alabama","777","155",
"1600000US0168352","Satsuma city, Alabama","2565","161",
"1600000US0168736","Scottsboro city, Alabama","6996","358",
"1600000US0169000","Section town, Alabama","358","87",
"1600000US0169120","Selma city, Alabama","9320","358",
"1600000US0169180","Selmont-West Selmont CDP, Alabama","939","184",
"1600000US0169240","Semmes city, Alabama","2477","265",
"1600000US0169648","Sheffield city, Alabama","5153","278",
"1600000US0169672","Shelby CDP, Alabama","386","143",
"1600000US0169840","Shiloh town, Alabama","177","80",
"1600000US0169978","Shoal Creek CDP, Alabama","550","109",
"1600000US0170128","Shorter town, Alabama","164","48",
"1600000US0170416","Silas town, Alabama","212","57",
"1600000US0170536","Silverhill town, Alabama","369","83",
"1600000US0170632","Sims Chapel CDP, Alabama","19","32",
"1600000US0170704","Sipsey town, Alabama","139","53",
"1600000US0170896","Skyline town, Alabama","468","123",
"1600000US0171040","Slocomb city, Alabama","885","125",
"1600000US0171190","Smiths Station city, Alabama","1908","230",
"1600000US0171201","Smoke Rise CDP, Alabama","390","140",
"1600000US0171280","Snead town, Alabama","574","143",
"1600000US0171496","Somerville town, Alabama","319","115",
"1600000US0171832","Southside city, Alabama","3408","318",
"1600000US0171900","South Vinemont town, Alabama","297","72",
"1600000US0171976","Spanish Fort city, Alabama","4223","386",
"1600000US0172408","Spring Garden CDP, Alabama","56","48",
"1600000US0172600","Springville city, Alabama","1994","215",
"1600000US0172672","Spruce Pine CDP, Alabama","136","102",
"1600000US0172720","Standing Rock CDP, Alabama","20","22",
"1600000US0172816","Stapleton CDP, Alabama","728","349",
"1600000US0172888","Steele town, Alabama","616","140",
"1600000US0173056","Sterrett CDP, Alabama","309","88",
"1600000US0173080","Stevenson city, Alabama","1155","212",
"1600000US0173152","Stewartville CDP, Alabama","813","137",
"1600000US0173272","Stockton CDP, Alabama","393","154",
"1600000US0173728","Sulligent city, Alabama","809","135",
"1600000US0173848","Sumiton city, Alabama","1210","202",
"1600000US0173872","Summerdale town, Alabama","617","126",
"1600000US0174160","Susan Moore town, Alabama","442","155",
"1600000US0174304","Sweet Water town, Alabama","117","37",
"1600000US0174352","Sylacauga city, Alabama","5905","347",
"1600000US0174400","Sylvania town, Alabama","826","135",
"1600000US0174424","Sylvan Springs town, Alabama","578","112",
